"Repository","https://github.com/TheOdinProject/theodinproject.git"
"Correlation Jaccard Text-Real","0.27"
"Correlation Cosine Text-Real","0.27"
"Task_A","Task_B","Text","Test_Jaccard","Real_Jaccard","Test_Cosine","Real_Cosine"
"332","337","0.9999999999999999","1.0","1.0","0.9999999999999998","0.9999999999999998"
"332","339","0.9350592027670694","0.8235294118","0.0","0.9492889050691345","0.0"
"332","388","0.7457695926523503","0.3529411765","0.1282051282","0.7095748751868991","0.3713906763541037"
"332","346","0.6500482237746414","0.7058823529","0.0476190476","0.9071147352221454","0.25197631533948484"
"337","339","0.9350592027670694","0.8235294118","0.0","0.9492889050691345","0.0"
"337","388","0.7457695926523503","0.3529411765","0.1282051282","0.7095748751868991","0.3713906763541037"
"337","346","0.6500482237746414","0.7058823529","0.0476190476","0.9071147352221454","0.25197631533948484"
"339","388","0.727649686138195","0.375","0.0","0.7262730392025629","0.0"
"339","346","0.48232523969158775","0.6470588235","0.0","0.8807048459279794","0.0"
"388","346","0.5161132963769574","0.25","0.04","0.5850179393017045","0.23094010767585033"
