"Repository","https://github.com/TheOdinProject/theodinproject.git"
"Correlation Jaccard Text-Real","0.27"
"Correlation Cosine Text-Real","0.27"
"Task_A","Task_B","Text","Test_Jaccard","Real_Jaccard","Test_Cosine","Real_Cosine"
"332","337","0.9999999999999999","1.0","1.0","1.0","0.9999999999999998"
"332","339","0.9350592027670694","0.7272727273","0.0","0.915782091251428","0.0"
"332","388","0.7457695926523503","0.2727272727","0.1282051282","0.6405126152203486","0.3713906763541037"
"332","346","0.6500482237746414","0.8181818182","0.0476190476","0.9476966276867815","0.25197631533948484"
"337","339","0.9350592027670694","0.7272727273","0.0","0.915782091251428","0.0"
"337","388","0.7457695926523503","0.2727272727","0.1282051282","0.6405126152203486","0.3713906763541037"
"337","346","0.6500482237746414","0.8181818182","0.0476190476","0.9476966276867815","0.25197631533948484"
"339","388","0.727649686138195","0.3333333333","0.0","0.6939779183594884","0.0"
"339","346","0.48232523969158775","0.6363636364","0.0","0.8754275592730114","0.0"
"388","346","0.5161132963769574","0.2380952381","0.04","0.5892556509887896","0.23094010767585033"
